date,pib
2015-05-01,483239.70
2015-06-01,486647.50
2015-07-01,502275.20
2015-08-01,492505.70
2015-09-01,496004.70
2015-10-01,518828.90
2015-11-01,513819.80
2015-12-01,521918.70
2016-01-01,490284.00
2016-02-01,491011.70
2016-03-01,516985.90
2016-04-01,508058.70
2016-05-01,513267.50
2016-06-01,536459.30
2016-07-01,532947.80
2016-08-01,534761.80
2016-09-01,509975.00
2016-10-01,525162.70
2016-11-01,541530.70
2016-12-01,565780.50
2017-01-01,526564.70
2017-02-01,514120.50
2017-03-01,544312.90
2017-04-01,525238.10
2017-05-01,548887.70
2017-06-01,556787.60
2017-07-01,557458.20
2017-08-01,555578.70
2017-09-01,528871.20
2017-10-01,549304.70
2017-11-01,566209.30
2017-12-01,588892.80
2018-01-01,555644.60
2018-02-01,528905.50
2018-03-01,560120.70
2018-04-01,559359.80
2018-05-01,547016.50
2018-06-01,580697.80
2018-07-01,583054.80
2018-08-01,582756.70
2018-09-01,556776.60
2018-10-01,591983.90
2018-11-01,593926.90
2018-12-01,603155.20
2019-01-01,578452.60
2019-02-01,567984.50
2019-03-01,579172.60
2019-04-01,592916.00
2019-05-01,604607.40
2019-06-01,598283.00
2019-07-01,627049.70
2019-08-01,616157.60
2019-09-01,614187.90
2019-10-01,641340.10
2019-11-01,634826.20
2019-12-01,646343.10
2020-01-01,617747.20
2020-02-01,609810.80
2020-03-01,616335.30
2020-04-01,555387.40
2020-05-01,561628.40
2020-06-01,591537.30
2020-07-01,629700.90
2020-08-01,625136.30
2020-09-01,635263.90
2020-10-01,661149.00
2020-11-01,665182.80
2020-12-01,685042.60
2021-01-01,653790.40
2021-02-01,676255.00
2021-03-01,735993.60
2021-04-01,713652.10
2021-05-01,712134.20
2021-06-01,714893.30
2021-07-01,743091.80
2021-08-01,740615.10
2021-09-01,745774.40
2021-10-01,755323.00
2021-11-01,771558.90
2021-12-01,782833.50
2022-01-01,722909.90
2022-02-01,754147.40
2022-03-01,838868.00
2022-04-01,819727.60
2022-05-01,826052.10
2022-06-01,826025.70
2022-07-01,852909.90
2022-08-01,854004.10
2022-09-01,836785.80
2022-10-01,877947.50
2022-11-01,879514.90
2022-12-01,883886.20
2023-01-01,812834.60
2023-02-01,831224.50
2023-03-01,938679.80
2023-04-01,904664.80
2023-05-01,903238.10
2023-06-01,893074.90
2023-07-01,911553.50
2023-08-01,923374.40
2023-09-01,906033.50
2023-10-01,943967.20
2023-11-01,950501.00
2023-12-01,936872.10
2024-01-01,875592.80
2024-02-01,886081.60
2024-03-01,952242.40
2024-04-01,977372.00
2024-05-01,954779.10
2024-06-01,952995.60
2024-07-01,987472.60
