Data;IPA-EP-DI - Todos os itens - Nro. Índice(1416651)
09/2023;1268.883
10/2023;1276.135
11/2023;1284.197
12/2023;1294.348
01/2024;1286.654
02/2024;1276.917
03/2024;1270.474
04/2024;1281.146
05/2024;1293.593
06/2024;1300.662
07/2024;1312.817
